Disease,Causes
Epilepsy,"Brain injury, genetics, infections, unknown causes"
Fibromyalgia,"Unknown; stress, genetics, infections suspected"
Fungal Infection,"Overgrowth of fungi (yeast, dermatophytes)"
GERD,"Weak lower esophageal sphincter, obesity, certain foods"
Gallstones,Cholesterol or bilirubin crystallization in gallbladder
Gastritis,"H. pylori infection, NSAIDs, alcohol, stress"
Gastroenteritis,"Viral (norovirus), bacterial (E. coli), or parasitic infections"
Glaucoma,"Increased eye pressure, genetics, aging"
Gout,Excess uric acid forming crystals in joints
Heart Attack,Coronary artery blockage from plaque rupture or clots
Heat Exhaustion,"Prolonged exposure to heat, dehydration"
Hemophilia,Genetic mutation affecting blood clotting factors
Hepatitis A,Hepatitis A virus (contaminated food/water)
Hepatitis B,"Hepatitis B virus (blood, sexual contact)"
Hepatitis C,Hepatitis C virus (bloodborne transmission)
Hepatitis D,Hepatitis D virus (requires Hepatitis B infection)
Hepatitis E,Hepatitis E virus (contaminated food/water)
Herniated Disc,"Injury, heavy lifting, aging, disc degeneration"
Herpes Zoster (Shingles),Reactivation of varicella-zoster virus
Hodgkin’s Lymphoma,"Genetic mutations, Epstein-Barr virus (EBV) infection"
Hyperlipidemia,"High-fat diet, genetics, obesity, sedentary lifestyle"
Hypertension,"High salt intake, stress, obesity, genetics"
Hyperthyroidism,"Autoimmune diseases (Graves’), thyroid nodules"
Hypoglycemia,"Excess insulin, skipping meals, medications"
Hypothyroidism,"Autoimmune diseases (Hashimoto’s), iodine deficiency"
Impetigo,"Bacterial infections (Staphylococcus, Streptococcus)"
Indigestion,"Overeating, fatty foods, stress, GERD"
Infectious Mononucleosis,Epstein-Barr virus infection
Influenza,Influenza virus infection
Interstitial Cystitis,"Unknown; bladder lining defects, autoimmune factors"
Iron Deficiency,"Poor diet, blood loss, poor absorption"
Iron Deficiency Anemia,"Chronic blood loss, inadequate iron intake"
Jaundice,"Liver diseases, bile duct obstruction, hemolysis"
Lupus (SLE),Autoimmune response affecting multiple organs
Major Depressive Disorder,"Genetic, biochemical, environmental factors"
Malaria,Plasmodium parasite via Anopheles mosquito bites
Measles,Measles virus (highly contagious)
Meningitis (Bacterial),"Bacterial infections (Neisseria meningitidis, Streptococcus pneumoniae)"
Menstrual Cramps,"Prostaglandin overproduction, uterine contractions"
Migraine,"Genetic factors, stress, hormonal changes, triggers (foods, light)"
Morning Sickness,Pregnancy-related hormonal changes
Motion Sickness,Sensory conflict between eyes and inner ear
Multiple Sclerosis,Autoimmune attack on nervous system myelin
Muscle Overuse,"Repetitive strain, excessive exercise"
Muscle Strain,Overstretching or tearing of muscle fibers
Osteoarthritis,"Joint wear and tear, aging, joint injuries"
Panic Disorder,"Genetics, stress, abnormal brain function"
Paralysis (Brain Hemorrhage),"Brain bleeding from trauma, hypertension, aneurysm rupture"
Parkinson’s Disease,Dopamine-producing neuron degeneration
Peptic Ulcer Disease,"H. pylori infection, NSAIDs, alcohol"
Pneumonia,"Bacterial, viral, or fungal lung infections"
Polycystic Ovary Syndrome (PCOS),"Hormonal imbalance, insulin resistance"
Psoriasis,Autoimmune response triggering skin cell overproduction
Respiratory Infection,"Viral or bacterial pathogens (cold, flu, pneumonia)"
Rheumatoid Arthritis,Autoimmune attack on joints
Sciatica,"Compression of sciatic nerve (herniated disc, spinal stenosis)"
Sleep Apnea,"Airway obstruction, obesity, enlarged tonsils"
Strep Throat,Streptococcus pyogenes bacterial infection
Tension Headache,"Stress, muscle tension, poor posture"
Thyroid Disorder,"Autoimmune disease, iodine imbalance, nodules"
Tonsillitis,Viral or bacterial infection of tonsils
Tuberculosis,Mycobacterium tuberculosis infection
Typhoid,Salmonella typhi via contaminated food/water
Urinary Tract Infection,Bacterial invasion of urinary tract (E. coli common)
Varicose Veins,"Weak or damaged vein valves, prolonged standing"
Vertigo (Paroxysmal Positional Vertigo),"Inner ear disturbances, head injuries"
Vision Fatigue,"Prolonged screen time, poor lighting, eye strain"
Whooping Cough (Pertussis),Bordetella pertussis bacterial infection
